1.56	2.08	pendrop
2.52	3.04	pendrop
5.24	6.08	knock
11.48	12.76	knock
14.44	15.64	phone
20.68	21.32	knock
26.32	26.96	knock
28.44	29.52	knock
31.56	32.32	knock
32.64	34.20	knock
34.84	36.20	phone
36.84	39.52	phone
40.00	40.64	phone
41.08	41.84	knock
43.56	44.44	knock
47.88	48.52	knock
52.04	53.08	knock
55.48	56.76	knock
58.92	60.52	phone
60.52	62.08	phone
62.08	62.52	knock
64.64	66.00	knock
67.08	68.72	phone
68.76	69.32	phone
70.40	71.64	knock
73.72	74.36	knock
76.40	76.96	pendrop
77.00	77.80	knock
82.16	82.72	knock
89.44	90.08	pendrop
97.08	98.24	knock
101.08	101.88	knock
103.48	104.24	knock
104.76	105.76	knock
109.64	110.20	knock
111.72	112.80	knock
