1.50	2.15	pendrop
2.50	3.15	keys
4.95	6.25	keys
11.45	12.85	knock
14.35	15.70	knock
20.50	21.40	knock
23.85	24.55	keys
26.00	27.65	knock
28.40	29.60	knock
31.50	32.45	knock
32.65	34.50	knock
34.80	39.70	phone
39.70	40.95	knock
40.95	41.90	knock
43.45	44.45	knock
47.40	48.65	knock
52.00	53.45	knock
55.45	56.85	knock
58.90	62.70	phone
64.55	66.15	phone
67.05	69.40	phone
70.35	71.70	phone
73.00	75.25	knock
76.35	77.05	knock
77.10	78.45	knock
80.10	80.80	knock
81.55	82.85	knock
89.35	90.80	knock
97.05	98.30	knock
100.90	102.05	knock
103.15	104.35	knock
104.70	105.85	knock
109.60	110.35	knock
111.70	112.95	knock
116.20	116.95	knock
117.10	118.05	keys
